number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
25,0.9531015844743472,2026-06-06 16:26:54.497123,2026-06-06 16:27:39.357484,0 days 00:00:44.860361,0.8583902041710929,0.5615052312486415,0.02598201671027627,8,7,1997,1.759257708519781,5.997374733378955,0.8669168848081129,COMPLETE
26,0.9516451138585406,2026-06-06 16:27:39.363476,2026-06-06 16:28:07.276648,0 days 00:00:27.913172,0.9528781426292848,0.3720973890059029,0.022178234017883058,5,8,1479,2.5963327387473436,7.636463209713692,0.9679728319135228,COMPLETE
27,0.9514763945613439,2026-06-06 16:28:07.280876,2026-06-06 16:28:31.788927,0 days 00:00:24.508051,0.7990534903659523,0.9779862318096609,0.031764514382227806,9,10,1490,3.235961631082502,9.304711123475622,0.9910990240286802,COMPLETE
28,0.9533121161886613,2026-06-06 16:28:31.793295,2026-06-06 16:29:27.141631,0 days 00:00:55.348336,0.6116478077762881,0.2776467733757829,0.01817743729046528,8,9,1812,1.5573146839912098,5.649568099290173,0.927186018925866,COMPLETE
29,0.9498659904322239,2026-06-06 16:29:27.146993,2026-06-06 16:29:52.419299,0 days 00:00:25.272306,0.6334007515635853,2.2428669317679013,0.03168207651633402,6,8,2385,2.407507460028912,5.413485475971459,0.8789923258095005,COMPLETE
30,0.9531585039152323,2026-06-06 16:29:52.426649,2026-06-06 16:30:25.304116,0 days 00:00:32.877467,0.6633483280861054,0.43604231127739984,0.04252080192003065,5,3,1958,2.9350016201669096,4.521001730392523,0.8418755082582506,COMPLETE
31,0.9533462652460288,2026-06-06 16:30:25.309947,2026-06-06 16:31:23.701443,0 days 00:00:58.391496,0.8500800121010608,0.22482429495859402,0.017567264382103223,8,9,1718,1.4764778691058789,6.951414197711314,0.9266240322472457,COMPLETE
32,0.9474179843509783,2026-06-06 16:31:23.707678,2026-06-06 16:31:47.454359,0 days 00:00:23.746681,0.8445022882520935,4.982297023115137,0.015668444009866618,7,9,1737,1.4639066513886665,5.777664110819937,0.9119231773151745,COMPLETE
33,0.9520401296040742,2026-06-06 16:31:47.459619,2026-06-06 16:32:38.402789,0 days 00:00:50.943170,0.9098060330380738,0.919512471230675,0.012787584457810804,9,7,2225,0.6413185544757711,6.529150871313295,0.9705459546765962,COMPLETE
34,0.9534085407993387,2026-06-06 16:32:38.412335,2026-06-06 16:33:36.963863,0 days 00:00:58.551528,0.7563485071516991,0.31599136747562945,0.016995695166858015,8,9,1870,0.007413522873670253,6.868759560345417,0.9267207136140596,COMPLETE
35,0.9519573598187949,2026-06-06 16:33:36.969117,2026-06-06 16:34:21.240352,0 days 00:00:44.271235,0.7537109648534343,1.1039965940199492,0.01166108187175452,8,6,1899,0.05936697379361208,7.068341965637743,0.922836162986971,COMPLETE
36,0.9532702104494152,2026-06-06 16:34:21.246016,2026-06-06 16:35:26.314260,0 days 00:01:05.068244,0.72418383830338,0.389850350392406,0.01668093706714281,10,8,2101,3.6141893554294606,6.790653049192004,0.8926863079600732,COMPLETE
37,0.9529604099905081,2026-06-06 16:35:26.323049,2026-06-06 16:36:19.404396,0 days 00:00:53.081347,0.6561601160618333,0.7264800480638658,0.017010519643738273,11,9,2523,3.6548519260765513,4.697365369657449,0.8942361594829072,COMPLETE
38,0.9529248989852804,2026-06-06 16:36:19.411291,2026-06-06 16:37:56.396928,0 days 00:01:36.985637,0.7261005427788367,0.34113266877876863,0.013725733300523638,10,7,2122,0.42003311536744603,5.9539927264132295,0.6431241722228421,COMPLETE
39,0.9523976465482695,2026-06-06 16:37:56.402722,2026-06-06 16:38:39.630725,0 days 00:00:43.228003,0.7729560088374221,1.3463591703593727,0.016315422502332966,12,8,2109,4.374541143783683,6.827785567630885,0.7792668992459315,COMPLETE
40,0.9530072757686531,2026-06-06 16:38:39.640922,2026-06-06 16:39:50.790116,0 days 00:01:11.149194,0.6026944673459911,0.8428402514347464,0.011999332230238519,9,6,2424,2.8686162318771173,3.891703300316043,0.6027643223357189,COMPLETE
41,0.9534006356513335,2026-06-06 16:39:50.796541,2026-06-06 16:40:48.148685,0 days 00:00:57.352144,0.6637936571919273,0.3032737399978254,0.02165816490158158,9,8,1633,2.0631515146481485,6.309104214742193,0.8865144950265834,COMPLETE
42,0.9532692560055347,2026-06-06 16:40:48.156109,2026-06-06 16:41:42.758236,0 days 00:00:54.602127,0.6655051887095311,0.32423584451649673,0.022878944701930564,10,8,1662,3.5956707073971566,5.444014781703191,0.8842488377713842,COMPLETE
43,0.9532510375850766,2026-06-06 16:41:42.766481,2026-06-06 16:42:43.713860,0 days 00:01:00.947379,0.6267479271301997,0.5588244090795143,0.01520552814229769,9,9,2050,1.9781421659011067,6.3084718217572995,0.8353208677199813,COMPLETE
44,0.9533893448935516,2026-06-06 16:42:43.719928,2026-06-06 16:44:07.356569,0 days 00:01:23.636641,0.6836086813768526,0.2780704820397603,0.018085129991204728,11,7,1856,0.7288727738773972,6.880143479299969,0.9056787657250703,COMPLETE
45,0.9528361778579036,2026-06-06 16:44:07.361998,2026-06-06 16:44:53.517263,0 days 00:00:46.155265,0.6348517073116681,0.7553921524874542,0.023994384314909262,12,7,1872,0.3288191302362475,5.005032405480125,0.9144960383336498,COMPLETE
46,0.9526188385575111,2026-06-06 16:44:53.524005,2026-06-06 16:46:10.497517,0 days 00:01:16.973512,0.6830534722060728,0.270979988537845,0.01927690205272223,11,5,1579,0.6516999317115597,2.916037856005454,0.8666081129432481,COMPLETE
47,0.9524645433653753,2026-06-06 16:46:10.501724,2026-06-06 16:47:09.306062,0 days 00:00:58.804338,0.6499344585437951,1.0403659937108296,0.013915821556963536,11,5,2243,0.021470768156091724,5.887364580801098,0.9055828935931872,COMPLETE
48,0.9516981866352174,2026-06-06 16:47:09.312497,2026-06-06 16:47:41.079616,0 days 00:00:31.767119,0.6175815353025083,1.2574009690592804,0.01765657133046728,8,6,1772,1.6041588722666376,7.203111532209737,0.9293526059460411,COMPLETE
49,0.9533082154357447,2026-06-06 16:47:41.083888,2026-06-06 16:48:20.000039,0 days 00:00:38.916151,0.6982249534831569,0.6648797619702491,0.028979073922273915,9,7,1351,0.7251435325864315,6.39136015365745,0.7908130865011606,COMPLETE
