fold,score
1,0.9569487156452334
2,0.9594800301597877
3,0.9578630553894647
4,0.957286246707801
5,0.9586102075072734
6,0.9570031688882464
7,0.958748256358906
8,0.9583486283142578
9,0.9578643904126644
10,0.9582557581523025
11,0.9572061142625407
12,0.9589228773885828
13,0.9577797871665545
14,0.9572218509114058
15,0.9579213133435909
16,0.9568274041645181
17,0.9589773647747366
18,0.9582023261570939
19,0.958064757063659
20,0.9584457551162991
21,0.9566674438901498
22,0.9584534743926213
23,0.9572697013416823
24,0.956884348404954
25,0.9579948382493703
